predicted_mean
93591748.52248137
103287705.02373585
89977628.814764
87660709.78190316
74020814.47939631
69452837.22817607
64282080.86439176
68214601.61992292
62547616.978829786
63741896.96828497
71955421.58728036
86638455.14260912
92950922.61047113
99224319.61910583
92453224.58562858
89880776.43771607
72877902.16704991
68350498.23654042
64014736.95364193
67908986.291276
62710485.360840745
63695139.2043637
72004115.97677551
86163454.38174446
92826847.90421496
