;Date_Heure;Annee;Mois;Jour;saison_Automne;saison_Hiver;saison_Printemps;saison_Ete;Consommation;Production;Thermique;Nucleaire;Hydraulique_totale;Eolien;Solaire;Bioenergies;TMoy_(°C);TDelta_(°C);Vitesse_vent_a100m_(m/s);Rayonnement_solaire_global_(W/m2);Pression au niveau mer;Variation de pression en 3 heures;Vitesse du vent moyen 10 mn;Humidité;Nebulosité totale;Pression station;Variation de pression en 24 heures;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Température (°C);Température minimale sur 12 heures (°C);Température maximale sur 12 heures (°C);Température minimale du sol sur 12 heures (en °C);Parc_nucleaire_(MW);Parc_thermique_(MW);Parc_hydraulique_(MW);Parc_eolien_(MW);Parc_solaire_(MW);Parc_bioenergies_(MW);Parc_total;Blackout
1809;2017-12-15 00:00:00+00:00;2017;12;15;1;0;0;0;5997.637152777777;6088.355902777777;687.9947916666666;4150.392361111111;623.3940972222222;501.5920138888889;32.848958333333336;92.13368055555556;5.720833333333333;4.4525;7.146362847222223;42.06645833333333;100231.01895833334;83.364375;5.381458333333333;81.09927083333334;77.64770833333334;98317.9434375;-195.95531250000002;1.0960416666666668;0.0004166666666666667;0.0004166666666666667;0.15270833333333333;0.5208333333333334;0.15270833333333333;0.15270833333333333;0.15270833333333333;5.774062499999999;5.774062499999999;5.774062499999999;5.774062499999999;5260.833333333333;1525.8333333333333;2107.5;1124.1666666666667;625.9166666666666;158.5;10802.75;True
1810;2017-12-16 00:00:00+00:00;2017;12;16;1;0;0;0;5670.84375;5855.029513888889;771.1822916666666;4160.840277777777;489.0295138888889;297.13368055555554;42.875;93.96875;4.19;5.053333333333334;6.289557291666666;49.96479166666667;101686.70458333334;204.53885416666668;3.9947916666666665;80.94072916666667;75.92885416666667;99727.60270833333;1425.9438541666668;1.090625;0.0016666666666666666;0.0016666666666666666;0.026354166666666665;0.08197916666666666;0.026354166666666665;0.026354166666666665;0.026354166666666665;4.130833333333333;4.130833333333333;4.130833333333333;4.130833333333333;5260.833333333333;1525.8333333333333;2107.5;1124.1666666666667;625.9166666666666;158.5;10802.75;True
1811;2017-12-17 00:00:00+00:00;2017;12;17;1;0;0;0;5600.543402777777;5752.635416666667;795.3072916666666;4250.206597222223;375.47743055555554;205.27777777777777;31.147569444444443;95.21875;4.235;7.335;5.5016493055555555;40.83989583333333;102679.74895833334;55.818437499999995;3.1691666666666665;85.07343750000001;82.63291666666666;100696.1703125;967.0400000000001;1.5330208333333333;0.0015625000000000003;0.0015625000000000003;0.03875;0.10052083333333334;0.03875;0.03875;0.03875;4.073229166666667;4.073229166666667;4.073229166666667;4.073229166666667;5260.833333333333;1525.8333333333333;2107.5;1124.1666666666667;625.9166666666666;158.5;10802.75;True
1812;2017-12-18 00:00:00+00:00;2017;12;18;1;0;0;0;6067.371527777777;6300.892361111111;822.1128472222222;4344.555555555556;660.4340277777778;363.2673611111111;17.63888888888889;92.88368055555556;5.489166666666667;5.645833333333333;5.176935763888888;34.77854166666666;102689.78593750001;30.55479166666667;3.9734374999999997;86.1596875;77.523125;100727.93375000001;21.407604166666665;2.006875;0.0010416666666666667;0.0010416666666666667;0.1523958333333333;0.4573958333333333;0.1523958333333333;0.1523958333333333;0.1523958333333333;5.900520833333333;5.900520833333333;5.900520833333333;5.900520833333333;5260.833333333333;1525.8333333333333;2107.5;1124.1666666666667;625.9166666666666;158.5;10802.75;True
1813;2017-12-19 00:00:00+00:00;2017;12;19;1;0;0;0;6259.491319444444;6172.293402777777;843.0538194444445;4431.661458333333;663.2361111111111;96.921875;45.239583333333336;92.18055555555556;3.669166666666667;6.439166666666667;4.698949652777777;47.373125;103525.66239583334;77.27552083333333;2.151666666666667;88.3690625;75.78416666666666;101543.14541666667;814.1089583333334;0.9444791666666666;0.0;0.0;-0.0037499999999999934;-0.0014583333333333332;-0.0037499999999999934;-0.0037499999999999934;-0.0037499999999999934;3.718541666666667;3.718541666666667;3.718541666666667;3.718541666666667;5260.833333333333;1525.8333333333333;2107.5;1124.1666666666667;625.9166666666666;158.5;10802.75;True
1814;2017-12-20 00:00:00+00:00;2017;12;20;1;0;0;0;6188.111111111111;6176.668402777777;816.0416666666666;4455.800347222223;677.9079861111111;106.20659722222223;26.947916666666668;93.76388888888889;4.715;6.365833333333333;4.351493055555555;27.877291666666665;103630.72947916666;4.270104166666666;2.138958333333333;91.02729166666667;93.4325;101645.9934375;107.799375;0.8001041666666667;0.0;0.0;0.015833333333333335;0.06427083333333333;0.015833333333333335;0.015833333333333335;0.015833333333333335;5.141145833333334;5.141145833333334;5.141145833333334;5.141145833333334;5260.833333333333;1525.8333333333333;2107.5;1124.1666666666667;625.9166666666666;158.5;10802.75;True
1815;2017-12-21 00:00:00+00:00;2017;12;21;0;1;0;0;5869.465277777777;6055.875;747.9340277777778;4452.074652777777;600.3472222222222;133.00694444444446;27.270833333333332;95.24131944444444;7.4316666666666675;3.8225000000000002;4.512413194444445;26.040833333333335;103820.96666666666;19.123809523809523;2.4040476190476188;91.98273809523809;93.7625;101850.57285714286;190.57690476190476;1.1428571428571428;0.0;0.0;0.01369047619047619;0.0883333333333333;0.01369047619047619;0.01369047619047619;0.01369047619047619;7.714404761904763;7.714404761904763;7.714404761904763;7.714404761904763;5260.833333333333;1525.8333333333333;2107.5;1124.1666666666667;625.9166666666666;158.5;10802.75;True
1816;2017-12-22 00:00:00+00:00;2017;12;22;0;1;0;0;5537.012152777777;5922.605902777777;668.5572916666666;4499.055555555556;486.2795138888889;150.81597222222223;21.95659722222222;95.94097222222223;8.390833333333333;3.2308333333333334;5.135026041666666;21.416041666666665;103695.10854166668;-13.537708333333335;2.42625;91.745625;95.91760416666666;101730.24177083332;-106.73270833333333;1.1185416666666665;0.0;0.0;0.05;0.12625;0.05;0.05;0.05;8.308854166666668;8.308854166666668;8.308854166666668;8.308854166666668;5260.833333333333;1525.8333333333333;2107.5;1124.1666666666667;625.9166666666666;158.5;10802.75;True
1817;2017-12-23 00:00:00+00:00;2017;12;23;0;1;0;0;4970.152777777777;5582.961805555556;634.7222222222222;4302.642361111111;359.41840277777777;155.18229166666666;31.765625;99.23090277777777;8.315833333333334;3.0125;5.972586805555555;35.319270833333334;103684.09739583333;-19.047604166666666;2.2285416666666666;90.12031250000001;92.06302083333334;101718.1584375;-14.140729166666667;0.739375;0.0;0.0;0.004687499999999993;0.015208333333333332;0.004687499999999993;0.004687499999999993;0.004687499999999993;8.146145833333332;8.146145833333332;8.146145833333332;8.146145833333332;5260.833333333333;1525.8333333333333;2107.5;1124.1666666666667;625.9166666666666;158.5;10802.75;True
1818;2017-12-24 00:00:00+00:00;2017;12;24;0;1;0;0;4856.324652777777;5302.836805555556;476.7135416666667;4075.5243055555557;420.5729166666667;193.61631944444446;38.348958333333336;98.06076388888889;7.174166666666666;3.3191666666666664;6.944652777777778;36.421875;103137.77177083334;-101.86302083333334;2.8990625000000003;88.4225;94.768125;101165.96427083334;-552.1942708333333;0.7520833333333333;0.0;0.0;-0.0008333333333333336;0.009166666666666665;-0.0008333333333333336;-0.0008333333333333336;-0.0008333333333333336;7.070625;7.070625;7.070625;7.070625;5260.833333333333;1525.8333333333333;2107.5;1124.1666666666667;625.9166666666666;158.5;10802.75;True
