predicted_mean
99922585.90494667
106656354.25696078
98006971.6204912
97201517.33843754
80272975.34358808
80388344.19780889
75455928.50312437
77193589.12305805
70684712.17923887
72834225.17566375
78526384.81989121
86911696.0478793
99657561.81483914
105892045.19768828
95150713.75104755
95399299.56298609
80108516.81215462
80746997.00750643
74847396.90546042
76398922.77672349
70508735.16822095
71450042.00356886
77329839.01845224
85838196.50692587
96846992.18067935
